solo,duo,seed,dt,score_for_solo,final_tick
arch_rock,arch_paper,9000,16,0.0,797
arch_paper,arch_rock,9001,16,1.0,588
arch_rock,arch_paper,9002,16,0.0,716
arch_paper,arch_rock,9003,16,1.0,734
arch_rock,arch_paper,9004,16,0.0,844
arch_paper,arch_rock,9005,16,1.0,665
arch_rock,arch_paper,9006,16,0.0,962
arch_paper,arch_rock,9007,16,1.0,724
arch_rock,arch_paper,9008,16,0.0,800
arch_paper,arch_rock,9009,16,1.0,692
arch_rock,arch_paper,9010,16,0.0,632
arch_paper,arch_rock,9011,16,1.0,698
arch_rock,arch_scissors,9012,16,1.0,4000
arch_scissors,arch_rock,9013,16,0.0,2838
arch_rock,arch_scissors,9014,16,1.0,4000
arch_scissors,arch_rock,9015,16,0.0,1000
arch_rock,arch_scissors,9016,16,1.0,4104
arch_scissors,arch_rock,9017,16,0.0,4000
arch_rock,arch_scissors,9018,16,1.0,4000
arch_scissors,arch_rock,9019,16,0.0,4000
arch_rock,arch_scissors,9020,16,1.0,4114
arch_scissors,arch_rock,9021,16,0.0,4000
arch_rock,arch_scissors,9022,16,1.0,3052
arch_scissors,arch_rock,9023,16,0.0,4000
arch_paper,arch_scissors,9024,16,1.0,517
arch_scissors,arch_paper,9025,16,0.0,504
arch_paper,arch_scissors,9026,16,1.0,554
arch_scissors,arch_paper,9027,16,0.0,547
arch_paper,arch_scissors,9028,16,1.0,460
arch_scissors,arch_paper,9029,16,0.0,536
arch_paper,arch_scissors,9030,16,1.0,477
arch_scissors,arch_paper,9031,16,0.0,524
arch_paper,arch_scissors,9032,16,1.0,513
arch_scissors,arch_paper,9033,16,0.0,550
arch_paper,arch_scissors,9034,16,1.0,538
arch_scissors,arch_paper,9035,16,0.0,73
