nodes,rank,solver,eff_mean,eff_std,prod_mean,n
150,1,qubo_degree,0.3910,0.0080,185.3,10
150,2,qubo,0.3905,0.0089,185.1,10
150,3,qubo_distance,0.3901,0.0062,184.9,10
150,4,qubo_adjacency,0.3853,0.0091,182.6,10
150,5,mcmc,0.3842,0.0136,182.1,10
150,6,qubo_composite,0.3827,0.0105,181.4,10
150,7,qubo_factory_biased,0.3416,0.0087,161.9,10
150,8,greedy,0.1590,0.0135,75.4,10
150,9,bootstrap,0.0224,0.0029,10.6,10
300,1,qubo_degree,0.3937,0.0066,176.2,10
300,2,qubo,0.3931,0.0091,175.9,10
300,3,qubo_distance,0.3908,0.0083,174.9,10
300,4,qubo_composite,0.3862,0.0083,172.8,10
300,5,qubo_adjacency,0.3845,0.0124,172.0,10
300,6,mcmc,0.3817,0.0067,170.8,10
300,7,qubo_factory_biased,0.3419,0.0129,153.1,10
300,8,greedy,0.1577,0.0190,70.6,10
300,9,bootstrap,0.0238,0.0035,10.6,10
