solo,duo,seed,dt,score_for_solo,final_tick
v0_expansion,v1_knapsack,1000,16,1.0,4000
v1_knapsack,v0_expansion,1001,16,0.0,4000
v0_expansion,v1_knapsack,1002,16,1.0,4000
v1_knapsack,v0_expansion,1003,16,0.0,1439
v0_expansion,v1_knapsack_hybrid,1004,16,1.0,4000
v1_knapsack_hybrid,v0_expansion,1005,16,0.0,4000
v0_expansion,v1_knapsack_hybrid,1006,16,1.0,4000
v1_knapsack_hybrid,v0_expansion,1007,16,0.0,4000
v0_expansion,v4,1008,16,0.0,796
v4,v0_expansion,1009,16,0.0,787
v0_expansion,v4,1010,16,1.0,827
v4,v0_expansion,1011,16,0.0,4000
v0_expansion,v5_qubo,1012,16,1.0,763
v5_qubo,v0_expansion,1013,16,0.0,858
v0_expansion,v5_qubo,1014,16,0.0,856
v5_qubo,v0_expansion,1015,16,0.0,904
v0_expansion,v5_qubo_composite,1016,16,1.0,719
v5_qubo_composite,v0_expansion,1017,16,0.0,841
v0_expansion,v5_qubo_composite,1018,16,1.0,707
v5_qubo_composite,v0_expansion,1019,16,0.0,1061
v0_expansion,v6,1020,16,0.0,1256
v6,v0_expansion,1021,16,0.0,918
v0_expansion,v6,1022,16,0.0,1148
v6,v0_expansion,1023,16,0.0,1378
v0_expansion,v7,1024,16,1.0,1161
v7,v0_expansion,1025,16,0.0,800
v0_expansion,v7,1026,16,1.0,988
v7,v0_expansion,1027,16,0.0,1110
v0_expansion,v8,1028,16,0.0,908
v8,v0_expansion,1029,16,1.0,1741
v0_expansion,v8,1030,16,0.0,839
v8,v0_expansion,1031,16,1.0,573
v0_expansion,v9,1032,16,0.0,4000
v9,v0_expansion,1033,16,1.0,415
v0_expansion,v9,1034,16,0.0,1896
v9,v0_expansion,1035,16,1.0,634
v0_expansion,v10,1036,16,0.0,2860
v10,v0_expansion,1037,16,1.0,594
v0_expansion,v10,1038,16,0.0,1075
v10,v0_expansion,1039,16,0.0,838
v0_expansion,v11,1040,16,1.0,2487
v11,v0_expansion,1041,16,0.0,3458
v0_expansion,v11,1042,16,1.0,1061
v11,v0_expansion,1043,16,0.0,2611
v0_expansion,v12,1044,16,0.0,1448
v12,v0_expansion,1045,16,1.0,891
v0_expansion,v12,1046,16,0.0,1143
v12,v0_expansion,1047,16,1.0,664
v1_knapsack,v1_knapsack_hybrid,1048,16,0.0,4000
v1_knapsack_hybrid,v1_knapsack,1049,16,0.0,4000
