solo,duo,seed,dt,score_for_solo,final_tick
v0_expansion,v1_knapsack,1000,16,1.0,4000
v1_knapsack,v0_expansion,1001,16,0.0,4000
v0_expansion,v1_knapsack,1002,16,1.0,663
v1_knapsack,v0_expansion,1003,16,0.0,4000
v0_expansion,v1_knapsack_hybrid,1004,16,1.0,875
v1_knapsack_hybrid,v0_expansion,1005,16,0.0,4000
v0_expansion,v1_knapsack_hybrid,1006,16,1.0,943
v1_knapsack_hybrid,v0_expansion,1007,16,0.0,4000
v0_expansion,v4,1008,16,1.0,791
v4,v0_expansion,1009,16,0.0,1051
v0_expansion,v4,1010,16,1.0,681
v4,v0_expansion,1011,16,1.0,1053
v0_expansion,v5_qubo,1012,16,1.0,875
v5_qubo,v0_expansion,1013,16,1.0,1576
v0_expansion,v5_qubo,1014,16,0.0,758
v5_qubo,v0_expansion,1015,16,0.0,724
v0_expansion,v5_qubo_composite,1016,16,1.0,741
v5_qubo_composite,v0_expansion,1017,16,0.0,682
v0_expansion,v5_qubo_composite,1018,16,1.0,822
v5_qubo_composite,v0_expansion,1019,16,0.0,676
v0_expansion,v6,1020,16,1.0,922
v6,v0_expansion,1021,16,1.0,1649
v0_expansion,v6,1022,16,1.0,761
v6,v0_expansion,1023,16,0.0,912
v0_expansion,v7,1024,16,0.0,1151
v7,v0_expansion,1025,16,0.0,1194
v0_expansion,v7,1026,16,1.0,1030
v7,v0_expansion,1027,16,0.0,1051
v0_expansion,v8,1028,16,0.0,552
v8,v0_expansion,1029,16,1.0,565
v0_expansion,v8,1030,16,0.0,680
v8,v0_expansion,1031,16,1.0,1374
v0_expansion,v9,1032,16,0.0,571
v9,v0_expansion,1033,16,1.0,492
v0_expansion,v9,1034,16,0.0,453
v9,v0_expansion,1035,16,1.0,514
v0_expansion,v10,1036,16,0.0,536
v10,v0_expansion,1037,16,1.0,648
v0_expansion,v10,1038,16,1.0,1342
v10,v0_expansion,1039,16,0.0,2492
v0_expansion,v11,1040,16,1.0,1135
v11,v0_expansion,1041,16,0.0,1190
v0_expansion,v11,1042,16,1.0,912
v11,v0_expansion,1043,16,0.0,940
v0_expansion,v12,1044,16,0.0,1182
v12,v0_expansion,1045,16,1.0,880
v0_expansion,v12,1046,16,0.0,1971
v12,v0_expansion,1047,16,1.0,696
v1_knapsack,v1_knapsack_hybrid,1048,16,1.0,4000
v1_knapsack_hybrid,v1_knapsack,1049,16,0.0,4000
