tick,loss,loss_delta,in_transit
0,1250,0,0
1,1250,0,625
2,1250,0,625
3,1250,0,625
4,1250,0,625
5,1250,0,625
6,1250,0,625
7,1250,0,625
8,1250,0,625
9,1250,0,625
10,1250,0,625
11,1250,0,625
12,1250,0,625
13,1250,0,625
14,1250,0,625
15,1250,0,625
16,1250,0,625
17,1250,0,625
18,1250,0,625
19,1250,0,625
20,1250,0,625
21,1250,0,625
22,1250,0,625
23,1250,0,625
24,1250,0,625
25,1250,0,625
26,1250,0,625
27,1250,0,625
28,1250,0,625
29,1250,0,625
30,1250,0,625
31,1250,0,625
32,1250,0,625
33,1250,0,625
34,1250,0,625
35,1250,0,625
36,1250,0,625
37,1250,0,625
38,1250,0,625
39,1250,0,625
40,1250,0,625
41,1250,0,625
42,1250,0,625
43,1250,0,625
44,1250,0,625
45,1250,0,625
46,1250,0,625
47,1250,0,625
48,1250,0,625
49,1250,0,625
50,1250,0,625
51,1250,0,625
52,1250,0,625
53,1250,0,625
54,1250,0,625
55,1250,0,625
56,1250,0,625
57,1250,0,625
58,1250,0,625
59,1250,0,625
60,1250,0,625
61,1250,0,625
62,1250,0,625
63,1250,0,625
64,1250,0,625
65,1250,0,625
66,1250,0,625
67,1250,0,625
68,1250,0,625
69,1250,0,625
70,1250,0,625
71,1250,0,625
72,1250,0,625
73,1250,0,625
74,1250,0,625
75,1250,0,625
76,1250,0,625
77,1250,0,625
78,1250,0,625
79,1250,0,625
80,1250,0,625
81,1250,0,625
82,1250,0,625
83,1250,0,625
84,1250,0,625
85,1250,0,625
86,1250,0,625
87,1250,0,625
88,1250,0,625
89,1250,0,625
90,1250,0,625
91,1250,0,625
92,1250,0,625
93,1250,0,625
94,1250,0,625
95,1250,0,625
96,1250,0,625
97,1250,0,625
98,1250,0,625
99,1250,0,625
100,1250,0,625
101,1250,0,625
102,1250,0,625
103,1250,0,625
104,1250,0,625
105,1250,0,625
106,1250,0,625
107,1250,0,625
108,1250,0,625
109,1250,0,625
110,1250,0,625
111,1250,0,625
112,1250,0,625
113,1250,0,625
114,1250,0,625
115,1250,0,625
116,1250,0,625
117,1250,0,625
118,1250,0,625
119,1250,0,625
120,1250,0,625
121,1250,0,625
122,1250,0,625
123,1250,0,625
124,1250,0,625
125,1250,0,625
126,1250,0,625
127,1250,0,625
128,1250,0,625
129,1250,0,625
130,1250,0,625
131,1250,0,625
132,1250,0,625
133,1250,0,625
134,1250,0,625
135,1250,0,625
136,1250,0,625
137,1250,0,625
138,1250,0,625
139,1250,0,625
140,1250,0,625
141,1250,0,625
142,1250,0,625
143,1250,0,625
144,1250,0,625
145,1250,0,625
146,1250,0,625
147,1250,0,625
148,1250,0,625
149,1250,0,625
150,1250,0,625
151,1250,0,625
152,1250,0,625
153,1250,0,625
154,1250,0,625
155,1250,0,625
156,1250,0,625
157,1250,0,625
158,1250,0,625
159,1250,0,625
160,1250,0,625
161,1250,0,625
162,1250,0,625
163,1250,0,625
164,1250,0,625
165,1250,0,625
166,1250,0,625
167,1250,0,625
168,1250,0,625
169,1250,0,625
170,1250,0,625
171,1250,0,625
172,1250,0,625
173,1250,0,625
174,1250,0,625
175,1250,0,625
176,1250,0,625
177,1250,0,625
178,1250,0,625
179,1250,0,625
180,1250,0,625
181,1250,0,625
182,1250,0,625
183,1250,0,625
184,1250,0,625
185,1250,0,625
186,1250,0,625
187,1250,0,625
188,1250,0,625
189,1250,0,625
190,1250,0,625
191,1250,0,625
192,1250,0,625
193,1250,0,625
194,1250,0,625
195,1250,0,625
196,1250,0,625
197,1250,0,625
198,1250,0,625
199,1250,0,625
200,1250,0,625
201,1250,0,625
202,1250,0,625
203,1250,0,625
204,1250,0,625
205,1250,0,625
206,1250,0,625
207,1250,0,625
208,1250,0,625
209,1250,0,625
210,1250,0,625
211,1250,0,625
212,1250,0,625
213,1250,0,625
214,1250,0,625
215,1250,0,625
216,1250,0,625
217,1250,0,625
218,1250,0,625
219,1250,0,625
220,1250,0,625
221,1250,0,625
222,1250,0,625
223,1250,0,625
224,1250,0,625
225,1250,0,625
226,1250,0,625
227,1250,0,625
228,1250,0,625
229,1250,0,625
230,1250,0,625
231,1250,0,625
232,1250,0,625
233,1250,0,625
234,1250,0,625
235,1250,0,625
236,1250,0,625
237,1250,0,625
238,1250,0,625
239,1250,0,625
240,1250,0,625
241,1250,0,625
242,1250,0,625
243,1250,0,625
244,1250,0,625
245,1250,0,625
246,1250,0,625
247,1250,0,625
248,1250,0,625
249,1250,0,625
250,1250,0,625
251,1250,0,625
252,1250,0,625
253,1250,0,625
254,1250,0,625
255,1250,0,625
256,1250,0,625
257,1250,0,625
258,1250,0,625
259,1250,0,625
260,1250,0,625
261,1250,0,625
262,1250,0,625
263,1250,0,625
264,1250,0,625
265,1250,0,625
266,1250,0,625
267,1250,0,625
268,1250,0,625
269,1250,0,625
270,1250,0,625
271,1250,0,625
272,1250,0,625
273,1250,0,625
274,1250,0,625
275,1250,0,625
276,1250,0,625
277,1250,0,625
278,1250,0,625
279,1250,0,625
280,1250,0,625
281,1250,0,625
282,1250,0,625
283,1250,0,625
284,1250,0,625
285,1250,0,625
286,1250,0,625
287,1250,0,625
288,1250,0,625
289,1250,0,625
290,1250,0,625
291,1250,0,625
292,1250,0,625
293,1250,0,625
294,1250,0,625
295,1200,-50,600
296,1200,0,600
297,1200,0,600
298,1200,0,600
299,1200,0,600
300,1200,0,600
301,1200,0,600
302,1200,0,600
303,1200,0,600
304,1200,0,600
305,1200,0,600
306,1200,0,600
307,1200,0,600
308,1200,0,600
309,1200,0,600
310,1200,0,600
311,1200,0,600
312,1200,0,600
313,1200,0,600
314,1200,0,600
315,1200,0,600
316,1200,0,600
317,1200,0,600
318,1200,0,600
319,1200,0,600
320,1200,0,600
321,1200,0,600
322,1200,0,600
323,1200,0,600
324,1200,0,600
325,1200,0,600
326,1200,0,600
327,1200,0,600
328,1200,0,600
329,1200,0,600
330,1200,0,600
331,1200,0,600
332,1200,0,600
333,1200,0,600
334,1100,-100,550
335,1100,0,550
336,1100,0,550
337,1100,0,550
338,1100,0,550
339,1100,0,550
340,1100,0,550
341,1100,0,550
342,1100,0,550
343,1100,0,550
344,1100,0,550
345,1100,0,550
346,1100,0,550
347,1100,0,550
348,1100,0,550
349,1100,0,550
350,1100,0,550
351,1100,0,550
352,1100,0,550
353,1100,0,550
354,1100,0,550
355,1100,0,550
356,1100,0,550
357,1100,0,550
358,1100,0,550
359,1100,0,550
360,1100,0,550
361,1100,0,550
362,1100,0,550
363,1100,0,550
364,750,-350,375
365,750,0,375
366,750,0,375
367,750,0,375
368,750,0,375
369,750,0,375
370,750,0,375
371,500,-250,250
372,500,0,250
373,500,0,250
374,500,0,250
375,500,0,250
376,500,0,250
377,500,0,250
378,500,0,250
379,500,0,250
380,500,0,250
381,500,0,250
382,0,-500,0
383,0,0,0
384,0,0,0
385,0,0,0
386,0,0,0
387,0,0,0
388,0,0,0
389,0,0,0
390,0,0,0
391,0,0,0
392,0,0,0
393,0,0,0
394,0,0,0
395,0,0,0
396,0,0,0
397,0,0,0
398,0,0,0
399,0,0,0
400,0,0,0
401,0,0,0
402,0,0,0
403,0,0,0
404,0,0,0
405,0,0,0
406,0,0,0
407,0,0,0
408,0,0,0
409,0,0,0
410,0,0,0
411,0,0,0
412,0,0,0
413,0,0,0
414,0,0,0
415,0,0,0
416,0,0,0
417,0,0,0
418,0,0,0
419,0,0,0
420,0,0,0
421,0,0,0
422,0,0,0
423,0,0,0
