tick,loss,loss_delta,in_transit
0,1800,0,0
1,1800,0,900
2,1800,0,900
3,1800,0,900
4,1800,0,900
5,1800,0,900
6,1800,0,900
7,1800,0,900
8,1800,0,900
9,1800,0,900
10,1800,0,900
11,1800,0,900
12,1800,0,900
13,1800,0,900
14,1800,0,900
15,1800,0,900
16,1800,0,900
17,1800,0,900
18,1800,0,900
19,1800,0,900
20,1800,0,900
21,1800,0,900
22,1800,0,900
23,1800,0,900
24,1800,0,900
25,1800,0,900
26,1800,0,900
27,1800,0,900
28,1800,0,900
29,1800,0,900
30,1800,0,900
31,1800,0,900
32,1800,0,900
33,1800,0,900
34,1800,0,900
35,1800,0,900
36,1800,0,900
37,1800,0,900
38,1800,0,900
39,1800,0,900
40,1800,0,900
41,1800,0,900
42,1800,0,900
43,1800,0,900
44,1800,0,900
45,1800,0,900
46,1800,0,900
47,1800,0,900
48,1800,0,900
49,1800,0,900
50,1800,0,900
51,1800,0,900
52,1800,0,900
53,1800,0,900
54,1800,0,900
55,1800,0,900
56,1800,0,900
57,1800,0,900
58,1800,0,900
59,1800,0,900
60,1800,0,900
61,1800,0,900
62,1800,0,900
63,1800,0,900
64,1800,0,900
65,1800,0,900
66,1800,0,900
67,1800,0,900
68,1800,0,900
69,1800,0,900
70,1800,0,900
71,1800,0,900
72,1800,0,900
73,1800,0,900
74,1800,0,900
75,1800,0,900
76,1800,0,900
77,1800,0,900
78,1800,0,900
79,1800,0,900
80,1800,0,900
81,1800,0,900
82,1800,0,900
83,1800,0,900
84,1800,0,900
85,1800,0,900
86,1800,0,900
87,1800,0,900
88,1800,0,900
89,1800,0,900
90,1800,0,900
91,1800,0,900
92,1800,0,900
93,1800,0,900
94,1800,0,900
95,1800,0,900
96,1800,0,900
97,1800,0,900
98,1800,0,900
99,1800,0,900
100,1800,0,900
101,1800,0,900
102,1800,0,900
103,1800,0,900
104,1800,0,900
105,1800,0,900
106,1800,0,900
107,1800,0,900
108,1800,0,900
109,1800,0,900
110,1800,0,900
111,1800,0,900
112,1800,0,900
113,1800,0,900
114,1800,0,900
115,1800,0,900
116,1800,0,900
117,1800,0,900
118,1800,0,900
119,1800,0,900
120,1800,0,900
121,1800,0,900
122,1800,0,900
123,1800,0,900
124,1800,0,900
125,1800,0,900
126,1800,0,900
127,1800,0,900
128,1800,0,900
129,1800,0,900
130,1800,0,900
131,1800,0,900
132,1800,0,900
133,1800,0,900
134,1800,0,900
135,1800,0,900
136,1800,0,900
137,1800,0,900
138,1800,0,900
139,1800,0,900
140,1800,0,900
141,1800,0,900
142,1800,0,900
143,1800,0,900
144,1800,0,900
145,1800,0,900
146,1800,0,900
147,1800,0,900
148,1800,0,900
149,1600,-200,0
150,1600,0,800
151,1600,0,800
152,1600,0,800
153,1600,0,800
154,1600,0,800
155,1600,0,800
156,1600,0,800
157,1600,0,800
158,1600,0,800
159,1600,0,800
160,1600,0,800
161,1600,0,800
162,1600,0,800
163,1600,0,800
164,1600,0,800
165,1600,0,800
166,1600,0,800
167,1600,0,800
168,1600,0,800
169,1600,0,800
170,1600,0,800
171,1600,0,800
172,1600,0,800
173,1600,0,800
174,1600,0,800
175,1600,0,800
176,1600,0,800
177,1600,0,800
178,1600,0,800
179,1600,0,800
180,1600,0,800
181,1600,0,800
182,1600,0,800
183,1600,0,800
184,1600,0,800
185,1600,0,800
186,1600,0,800
187,1600,0,800
188,1600,0,800
189,1600,0,800
190,1600,0,800
191,1600,0,800
192,1600,0,800
193,1600,0,800
194,1600,0,800
195,1600,0,800
196,1600,0,800
197,1600,0,800
198,1600,0,800
199,1600,0,800
200,1600,0,800
201,1600,0,800
202,1600,0,800
203,1600,0,800
204,1600,0,800
205,1600,0,800
206,1600,0,800
207,1600,0,800
208,1600,0,800
209,1600,0,800
210,1600,0,800
211,1600,0,800
212,1600,0,800
213,1600,0,800
214,1600,0,800
215,1600,0,800
216,1600,0,800
217,1600,0,800
218,1600,0,800
219,1600,0,800
220,1600,0,800
221,1600,0,800
222,1600,0,800
