tick,loss,loss_delta,in_transit
0,589312,0,0
1,589312,0,44863
2,589312,0,85956
3,589312,0,129616
4,589312,0,173946
5,589312,0,216402
6,589312,0,255235
7,589312,0,279169
8,589312,0,288956
9,589312,0,293025
10,589312,0,294438
11,589312,0,294556
12,589312,0,294501
13,589312,0,294264
14,589312,0,294457
15,589312,0,294549
16,589312,0,294603
17,589148,-164,294329
18,589148,0,294459
19,589148,0,294372
20,589148,0,294540
21,589148,0,294570
22,589148,0,294571
23,589148,0,293953
24,589148,0,293467
25,589148,0,294067
26,589148,0,294420
27,589148,0,293996
28,589148,0,294333
29,589148,0,294209
30,589148,0,294413
31,589148,0,294352
32,589148,0,293560
33,589148,0,293826
34,589148,0,294297
35,589148,0,293462
36,589148,0,293869
37,589148,0,293696
38,589148,0,292081
39,589148,0,293035
40,589148,0,293366
41,589148,0,293907
42,589148,0,293601
43,589148,0,294246
44,589124,-24,294173
45,589106,-18,293742
46,588814,-292,293826
47,588814,0,293102
48,588814,0,293423
49,588790,-24,293520
50,588790,0,293369
51,588790,0,293021
52,588750,-40,293552
53,588750,0,293328
54,588750,0,292017
55,588750,0,292752
56,588422,-328,292638
57,588422,0,293618
58,588422,0,292471
59,588422,0,291916
60,588422,0,292500
61,588422,0,293511
62,588422,0,291012
63,588422,0,291143
64,588422,0,290861
65,588422,0,290892
66,588422,0,290679
67,588422,0,289901
68,588422,0,291181
69,587972,-450,291374
70,587972,0,290470
71,587972,0,290377
72,587972,0,288449
73,587400,-572,289268
74,587400,0,288593
75,587180,-220,283516
76,587180,0,286052
77,587180,0,286269
78,586890,-290,287235
79,586890,0,282306
80,586890,0,282341
81,585684,-1206,281664
82,585684,0,281117
83,585684,0,276515
84,585412,-272,278182
85,584842,-570,278124
86,584298,-544,277565
87,583548,-750,274923
88,583548,0,273888
89,582884,-664,269831
90,582884,0,266625
91,582884,0,267260
92,582812,-72,263038
93,582812,0,262615
94,582152,-660,258409
95,581764,-388,252406
96,581148,-616,252886
97,581148,0,248219
98,581148,0,253864
99,581148,0,263034
100,581148,0,274708
101,581076,-72,282724
102,581076,0,286447
103,581058,-18,288868
104,581058,0,289289
105,581058,0,289656
106,581058,0,290439
107,581058,0,290309
108,581058,0,290582
109,581058,0,290550
110,581058,0,290503
111,581058,0,289686
112,581020,-38,289628
113,581020,0,290131
114,581020,0,290237
115,581020,0,290545
116,581020,0,290180
117,581020,0,289079
118,580974,-46,289552
119,580974,0,289502
120,580974,0,289848
121,580974,0,289199
122,580974,0,289440
123,580974,0,289659
124,580974,0,289695
125,580974,0,289638
126,580962,-12,289407
127,580216,-746,289114
128,580062,-154,287800
129,580062,0,287078
130,580062,0,288414
131,580062,0,288698
132,580062,0,288862
133,580062,0,288385
134,580062,0,288258
135,580062,0,287842
136,580062,0,288997
137,580062,0,289169
138,580062,0,288170
139,580062,0,287477
140,580062,0,286907
141,580062,0,285900
142,580044,-18,284627
143,580044,0,284152
144,580044,0,282858
145,580044,0,284147
146,579964,-80,286377
147,579964,0,287273
148,579964,0,284697
149,579964,0,284591
150,579740,-224,285986
151,579740,0,286626
152,578860,-880,286463
153,578766,-94,284779
154,577966,-800,285321
155,577966,0,285710
156,577966,0,283445
157,577966,0,284153
158,577966,0,284715
159,577966,0,280257
160,577966,0,281984
161,577966,0,283283
162,577966,0,281165
163,577500,-466,278795
164,577134,-366,276244
165,577134,0,273351
166,576562,-572,275628
167,576562,0,277257
168,576458,-104,277064
169,576458,0,275209
170,574894,-1564,277068
171,574894,0,275882
172,574894,0,275061
173,574882,-12,272117
174,573556,-1326,268593
175,573556,0,268081
176,573556,0,267520
177,573556,0,270114
178,573556,0,269166
179,573502,-54,273646
180,571634,-1868,272855
181,570610,-1024,269817
182,570610,0,267247
183,570610,0,270911
184,570610,0,272801
185,570610,0,275813
186,570610,0,278179
187,570610,0,277110
188,570610,0,276231
189,570238,-372,279257
190,570238,0,277540
191,570238,0,279060
192,570238,0,280445
193,570238,0,281160
194,570238,0,281941
195,570238,0,282709
196,570152,-86,283374
197,570152,0,283916
198,570152,0,284394
199,570152,0,284499
200,569644,-508,283855
201,569156,-488,283762
202,569074,-82,282863
203,568942,-132,283292
204,568942,0,284004
205,568942,0,283319
206,568942,0,283293
207,568942,0,283281
208,568532,-410,282617
209,567690,-842,282145
210,567690,0,281901
211,567690,0,283127
212,567690,0,282910
213,567572,-118,281648
214,567572,0,282101
215,567006,-566,282030
216,566942,-64,281729
217,566942,0,281521
218,566942,0,282435
219,566058,-884,281843
220,566058,0,280620
221,566058,0,281054
222,564266,-1792,279238
223,562724,-1542,279003
224,562530,-194,279682
225,562346,-184,279533
226,562346,0,278989
227,562346,0,278337
228,562346,0,278857
229,562346,0,275805
230,562346,0,276687
231,561274,-1072,274856
232,561274,0,273414
233,561274,0,272385
234,561274,0,275885
235,561072,-202,275854
236,560304,-768,275570
237,560304,0,274387
238,558902,-1402,273314
239,557408,-1494,272543
240,556502,-906,273763
241,556502,0,273244
242,556502,0,272658
243,556502,0,271395
244,555922,-580,272902
245,552246,-3676,267441
246,552246,0,270837
247,551558,-688,271120
248,551558,0,268517
249,547368,-4190,265346
250,547166,-202,266332
251,546914,-252,266737
252,546914,0,267208
253,546794,-120,264825
254,546794,0,263327
255,544758,-2036,263195
256,544758,0,261674
257,543772,-986,258714
258,541414,-2358,259833
259,540338,-1076,260702
260,540338,0,259655
261,539146,-1192,254611
262,537532,-1614,257359
263,537532,0,256482
264,534992,-2540,256190
265,534434,-558,256715
266,534422,-12,257320
267,534422,0,260494
268,534422,0,259302
269,533166,-1256,258567
270,532806,-360,260254
271,532806,0,259511
272,529574,-3232,258266
273,529574,0,258200
274,529574,0,260034
275,529574,0,260406
276,529574,0,261014
277,529294,-280,259728
278,529294,0,260400
279,528954,-340,259310
280,528350,-604,259743
281,528350,0,260497
282,528350,0,260838
283,528350,0,262349
284,528350,0,262771
285,528350,0,262476
286,528350,0,261604
287,527768,-582,262992
288,526276,-1492,261878
289,525794,-482,262005
290,525684,-110,262359
291,525234,-450,261517
292,525234,0,261406
293,525234,0,261174
294,525234,0,261039
295,525234,0,260404
296,525234,0,261044
297,525234,0,260036
298,525234,0,260242
299,524742,-492,259547
300,524742,0,260536
301,522778,-1964,260411
302,521606,-1172,257636
303,521252,-354,257265
304,519894,-1358,257193
305,519854,-40,257095
306,519854,0,257892
307,519854,0,255935
308,519634,-220,257120
309,518140,-1494,257523
310,518140,0,256129
311,518140,0,254220
312,517072,-1068,254298
313,517072,0,256652
314,517072,0,255995
315,517072,0,256552
316,516148,-924,256256
317,516148,0,255561
318,516148,0,253749
319,516148,0,254115
320,516148,0,250207
321,515256,-892,251863
322,515256,0,253282
323,514742,-514,252496
324,513668,-1074,250434
325,512802,-866,249411
326,510874,-1928,249343
327,509924,-950,249513
328,509118,-806,249479
329,508810,-308,248535
330,508810,0,249668
331,508810,0,246991
332,507628,-1182,246905
333,507370,-258,249631
334,505664,-1706,248136
335,505062,-602,247919
336,501918,-3144,245726
337,500414,-1504,244650
338,500414,0,244293
339,500414,0,242975
340,500414,0,243209
341,499760,-654,245468
342,499760,0,245064
343,499760,0,243471
344,498182,-1578,241385
345,497196,-986,238779
346,497196,0,241149
347,495564,-1632,240406
348,495564,0,243876
349,495564,0,241947
350,494902,-662,242538
351,494078,-824,241262
352,490644,-3434,237473
353,488838,-1806,239612
354,488838,0,235698
355,487510,-1328,236645
356,487510,0,236450
357,486798,-712,239490
358,486114,-684,239432
359,486114,0,241368
360,484272,-1842,240786
361,482268,-2004,238919
362,481346,-922,237552
363,481302,-44,236509
364,481252,-50,236045
365,481252,0,236693
366,480782,-470,237352
367,480782,0,235907
368,480782,0,236075
369,480186,-596,236899
370,480186,0,236295
371,478314,-1872,237348
372,477500,-814,235133
373,477500,0,236825
374,476740,-760,236553
375,476740,0,236505
376,475798,-942,236508
377,475626,-172,235543
378,475626,0,235784
379,475402,-224,236666
380,475402,0,236879
381,475402,0,236083
382,474184,-1218,234940
383,474184,0,236061
384,474184,0,234847
385,473434,-750,233655
386,473434,0,234031
387,470860,-2574,233435
388,470850,-10,233450
389,470476,-374,232151
390,470102,-374,233379
391,470102,0,232122
392,470102,0,233224
393,470102,0,232350
394,469602,-500,231911
395,469208,-394,231510
396,468254,-954,231525
397,468254,0,231851
398,468254,0,230911
399,467156,-1098,230597
400,467156,0,230950
401,466592,-564,230560
402,466592,0,232027
403,465426,-1166,231003
404,465040,-386,228908
405,465040,0,228799
406,465040,0,230403
407,464900,-140,228091
408,464548,-352,225541
409,464548,0,226727
410,464548,0,227591
411,464548,0,228183
412,462052,-2496,223713
413,460898,-1154,227064
414,459706,-1192,226916
415,459706,0,226503
416,459706,0,225446
417,458400,-1306,224844
418,458400,0,225339
419,450166,-8234,220360
420,449818,-348,217239
