tick,loss,loss_delta,in_transit
0,589312,0,0
1,589312,0,294656
2,589312,0,294656
3,589312,0,294656
4,589312,0,294656
5,589312,0,294656
6,589312,0,292714
7,589312,0,294656
8,589312,0,294656
9,589312,0,294656
10,589312,0,294656
11,589312,0,294656
12,589312,0,294656
13,589312,0,293731
14,589312,0,294656
15,589312,0,294656
16,589312,0,294656
17,589312,0,293678
18,589312,0,294656
19,589312,0,294656
20,589312,0,294656
21,589312,0,294656
22,589312,0,294656
23,589312,0,293828
24,589312,0,293685
25,589312,0,293686
26,589312,0,294656
27,589312,0,294656
28,589312,0,293700
29,589312,0,294656
30,589312,0,294656
31,589312,0,294656
32,589312,0,294656
33,589312,0,294656
34,589312,0,293678
35,589312,0,293680
36,589312,0,294656
37,589312,0,293817
38,589312,0,294656
39,589312,0,292972
40,589312,0,293735
41,589312,0,293858
42,589312,0,293902
43,589312,0,293677
44,589312,0,294656
45,589312,0,293913
46,589312,0,294656
47,589312,0,293745
48,588626,-686,292388
49,588626,0,294313
50,588626,0,294313
51,588626,0,293338
52,588626,0,293333
53,588626,0,293334
54,588626,0,292504
55,588626,0,292402
56,588626,0,294313
57,588026,-600,293045
58,588026,0,294013
59,588026,0,292138
60,588026,0,293033
61,588026,0,293050
62,588026,0,293053
63,588026,0,292077
64,588026,0,293043
65,587986,-40,291301
66,587986,0,292077
67,587986,0,293070
68,587986,0,292064
69,587986,0,293038
70,587124,-862,291025
71,587124,0,291622
72,587124,0,289064
73,587124,0,290739
74,587124,0,290700
75,586012,-1112,288421
76,585946,-66,285500
77,585946,0,290163
78,585524,-422,290820
79,585234,-290,286867
80,585234,0,285979
81,584028,-1206,288095
82,584028,0,285559
83,584028,0,286243
84,584028,0,284440
85,584028,0,285623
86,584028,0,286267
87,583458,-570,279042
88,581670,-1788,280099
89,581670,0,281201
90,581418,-252,277104
91,581418,0,279161
92,581418,0,275698
93,581164,-254,281533
94,581164,0,276067
95,581164,0,277661
96,581082,-82,277803
97,581082,0,272704
98,580422,-660,277811
99,580422,0,273253
100,580422,0,290211
101,580422,0,290211
102,580422,0,289277
103,580422,0,290211
104,580422,0,290211
105,580422,0,289229
106,580422,0,290211
107,580422,0,289231
108,579460,-962,289730
109,579460,0,289730
110,579460,0,289730
111,579460,0,288752
112,579460,0,288805
113,579460,0,287981
114,579460,0,289730
115,579460,0,288760
116,579460,0,287848
117,579460,0,288774
118,579460,0,287989
119,579460,0,289730
120,579460,0,288784
121,579460,0,289730
122,579460,0,287786
123,579460,0,289730
124,579460,0,289730
125,579460,0,288004
126,579460,0,288761
127,579460,0,289730
128,578074,-1386,287309
129,578074,0,287298
130,578074,0,288283
131,578074,0,287099
132,578074,0,287211
133,578074,0,289037
134,578074,0,287233
135,578074,0,289037
136,578074,0,287186
137,578074,0,288066
138,578074,0,287090
139,578074,0,286434
140,578074,0,286998
141,578028,-46,287077
142,578028,0,288037
143,577870,-158,284707
144,577870,0,283223
145,577870,0,287318
146,577870,0,285124
147,577870,0,287954
148,577870,0,287001
149,577870,0,286049
150,577870,0,282130
151,577870,0,286156
152,577870,0,286327
153,577870,0,286974
154,577870,0,288011
155,576682,-1188,283554
156,575066,-1616,285575
157,575066,0,287533
158,575066,0,283744
159,575066,0,285597
160,575066,0,279110
161,575066,0,282909
162,575066,0,286571
163,575066,0,284008
164,575066,0,280823
165,575066,0,278262
166,574030,-1036,284167
