tick,loss,loss_delta,in_transit
0,672000,0,0
1,672000,0,46764
2,672000,0,87013
3,672000,0,130836
4,672000,0,177474
5,672000,0,220902
6,672000,0,265553
7,672000,0,296283
8,672000,0,312976
9,672000,0,321017
10,672000,0,323775
11,672000,0,323526
12,672000,0,324699
13,672000,0,324607
14,672000,0,325019
15,672000,0,324703
16,672000,0,325333
17,672000,0,325365
18,672000,0,324792
19,672000,0,324109
20,672000,0,324513
21,672000,0,325114
22,672000,0,325157
23,672000,0,325491
24,672000,0,325407
25,672000,0,324431
26,672000,0,325163
27,672000,0,324583
28,672000,0,325093
29,672000,0,325540
30,672000,0,324958
31,672000,0,325225
32,672000,0,325118
33,672000,0,325068
34,672000,0,325276
35,672000,0,325620
36,672000,0,325700
37,672000,0,325853
38,672000,0,324296
39,672000,0,323817
40,672000,0,324134
41,672000,0,324752
42,672000,0,325292
43,672000,0,325303
44,672000,0,325618
45,672000,0,324793
46,672000,0,324763
47,672000,0,325281
48,672000,0,324376
49,672000,0,325608
50,672000,0,324673
51,672000,0,324248
52,672000,0,324387
53,672000,0,324185
54,672000,0,324386
55,672000,0,324960
56,672000,0,325506
57,672000,0,326031
58,672000,0,325160
59,672000,0,322826
60,672000,0,323447
61,672000,0,324758
62,672000,0,324254
63,672000,0,322728
64,672000,0,324585
65,672000,0,325102
66,672000,0,323399
67,672000,0,323856
68,672000,0,324406
69,672000,0,322795
70,672000,0,322210
71,672000,0,320783
72,672000,0,321434
73,672000,0,321798
74,672000,0,319548
75,672000,0,316509
76,672000,0,315191
77,672000,0,318608
78,672000,0,315501
79,672000,0,312488
80,672000,0,313924
81,670200,-1800,311023
82,668400,-1800,311227
83,668400,0,311874
84,668400,0,310618
85,665208,-3192,303239
86,663690,-1518,299578
87,663690,0,301885
88,663690,0,307704
89,663690,0,303880
90,663690,0,295365
91,661890,-1800,295300
92,661890,0,296253
93,661890,0,291506
94,661890,0,290450
95,661890,0,291278
96,661890,0,280704
97,661890,0,281294
98,661890,0,284553
99,661890,0,288752
100,661890,0,301566
101,661890,0,310345
102,661890,0,314737
103,661890,0,318400
104,661890,0,318807
105,661890,0,320176
106,661890,0,320321
107,661890,0,320259
108,661890,0,320826
109,661890,0,321553
110,661032,-858,321293
111,661032,0,320315
112,661032,0,320953
113,661032,0,319929
114,661032,0,319895
115,661032,0,319329
116,661032,0,320421
117,661032,0,320026
118,661032,0,319994
119,661032,0,319974
120,661032,0,319920
121,661032,0,320619
122,660476,-556,319785
123,660476,0,318667
124,660476,0,317934
125,660476,0,319054
126,660476,0,319723
127,660476,0,318837
128,660476,0,318945
129,660476,0,319481
130,660476,0,320046
131,660476,0,318155
132,660476,0,318591
133,660238,-238,318293
134,660238,0,317783
135,660238,0,318494
136,660238,0,318149
137,660238,0,318951
138,660238,0,317937
139,660238,0,315958
140,660238,0,316595
141,660238,0,317347
142,660238,0,317658
143,660238,0,316552
144,660238,0,317380
145,660238,0,316762
146,660238,0,316082
147,660238,0,316191
148,660238,0,315480
149,660238,0,314901
150,660238,0,316476
151,660238,0,317566
152,660238,0,317773
153,660238,0,317193
154,660238,0,316108
155,660238,0,314611
156,660238,0,315353
157,660238,0,313309
158,659568,-670,313150
159,659568,0,310957
160,659568,0,312215
161,659568,0,313936
162,659568,0,312984
163,658112,-1456,311428
164,658112,0,312055
165,657324,-788,311855
166,656598,-726,310523
167,656598,0,309799
168,656598,0,304281
169,656598,0,305548
170,655898,-700,299961
171,655058,-840,302847
172,655058,0,302470
173,655058,0,301602
174,653428,-1630,294509
175,653428,0,298299
176,653428,0,302425
177,653428,0,300221
178,653428,0,303847
179,653428,0,299354
180,652002,-1426,298168
181,652002,0,298631
182,652002,0,297833
183,652002,0,304686
184,650632,-1370,305556
185,650632,0,305118
186,650632,0,306187
187,650632,0,303071
188,650632,0,304031
