tick,loss,loss_delta,in_transit
0,672000,0,0
1,672000,0,335664
2,672000,0,335664
3,672000,0,335664
4,672000,0,335664
5,672000,0,335664
6,672000,0,334665
7,672000,0,334665
8,672000,0,334665
9,672000,0,333666
10,672000,0,333666
11,672000,0,333666
12,672000,0,333666
13,672000,0,332667
14,672000,0,331668
15,672000,0,331668
16,672000,0,331668
17,672000,0,330669
18,672000,0,330669
19,672000,0,328671
20,672000,0,326673
21,672000,0,323676
22,672000,0,323676
23,672000,0,322677
24,672000,0,322677
25,672000,0,321678
26,672000,0,321678
27,672000,0,321678
28,672000,0,321678
29,672000,0,321678
30,672000,0,321678
31,672000,0,320679
32,672000,0,320679
33,672000,0,320679
34,672000,0,318681
35,672000,0,318681
36,672000,0,318681
37,672000,0,317682
38,672000,0,317682
39,672000,0,315684
40,672000,0,311688
41,672000,0,310689
42,672000,0,307692
43,672000,0,306693
44,672000,0,305694
45,672000,0,304695
46,672000,0,302697
47,672000,0,302697
48,672000,0,300699
49,672000,0,299700
50,672000,0,299700
51,672000,0,297702
52,672000,0,296703
53,672000,0,295704
54,672000,0,293706
55,672000,0,291708
56,672000,0,292707
57,672000,0,292707
58,672000,0,292707
59,672000,0,289710
60,672000,0,288711
61,672000,0,286713
62,672000,0,285714
63,672000,0,283716
64,672000,0,282717
65,672000,0,280719
66,672000,0,279720
67,672000,0,276723
68,672000,0,273726
69,672000,0,272727
70,672000,0,267732
71,672000,0,264735
72,672000,0,261738
73,672000,0,257742
74,672000,0,256743
75,672000,0,252747
76,672000,0,243756
77,672000,0,247752
78,672000,0,243756
79,672000,0,241758
80,672000,0,239760
81,670002,-1998,240759
82,668004,-1998,230769
83,668004,0,231768
84,668004,0,232767
85,666006,-1998,221778
86,664008,-1998,225774
87,662010,-1998,217782
88,662010,0,218781
89,662010,0,213786
90,662010,0,217782
91,662010,0,219780
92,660012,-1998,220779
93,660012,0,228771
94,660012,0,219780
95,660012,0,223776
96,660012,0,222777
97,660012,0,220779
98,660012,0,222777
99,660012,0,224775
100,660012,0,252747
101,660012,0,252747
102,660012,0,252747
103,660012,0,251748
104,660012,0,251748
105,660012,0,251748
106,660012,0,250749
107,660012,0,250749
108,660012,0,250749
109,660012,0,250749
110,660012,0,249750
111,660012,0,249750
112,660012,0,249750
113,660012,0,249750
114,660012,0,249750
115,660012,0,249750
116,660012,0,248751
117,660012,0,248751
118,660012,0,248751
119,660012,0,249750
120,660012,0,248751
121,660012,0,248751
122,660012,0,248751
123,660012,0,247752
124,660012,0,248751
125,660012,0,246753
126,660012,0,245754
127,660012,0,246753
128,660012,0,246753
129,660012,0,246753
130,660012,0,245754
131,660012,0,245754
132,660012,0,243756
133,660012,0,242757
134,660012,0,241758
135,660012,0,241758
136,660012,0,240759
137,660012,0,243756
138,660012,0,243756
139,660012,0,242757
140,660012,0,244755
141,660012,0,244755
142,660012,0,243756
143,660012,0,242757
144,660012,0,242757
145,660012,0,241758
146,660012,0,241758
147,660012,0,241758
148,660012,0,238761
149,660012,0,240759
150,660012,0,240759
151,660012,0,240759
152,660012,0,233766
153,660012,0,239760
154,660012,0,236763
155,660012,0,238761
156,660012,0,236763
157,660012,0,237762
158,660012,0,235764
159,660012,0,232767
160,660012,0,229770
161,660012,0,233766
162,660012,0,232767
163,660012,0,234765
164,660012,0,229770
165,656016,-3996,228771
166,656016,0,230769
167,656016,0,231768
168,656016,0,226773
169,656016,0,232767
170,656016,0,226773
171,656016,0,227772
172,656016,0,221778
173,656016,0,225774
