tick,loss,loss_delta,in_transit
0,98152,0,0
1,98152,0,18238
2,98152,0,32137
3,98152,0,41060
4,98152,0,45435
5,98152,0,47880
6,98152,0,48900
7,98152,0,49076
8,98152,0,49014
9,98152,0,49028
10,98152,0,49036
11,98152,0,49029
12,98152,0,49062
13,98152,0,49076
14,98152,0,49050
15,98152,0,49043
16,98152,0,49074
17,98148,-4,49074
18,98140,-8,49070
19,98140,0,49070
20,98140,0,49070
21,98140,0,49070
22,98140,0,48980
23,98140,0,49070
24,98140,0,49070
25,98140,0,49070
26,98128,-12,49004
27,98128,0,48942
28,98128,0,48951
29,98128,0,49064
30,98128,0,49064
31,98128,0,49064
32,98122,-6,49027
33,98122,0,49020
34,98122,0,49061
35,98122,0,49061
36,98110,-12,49036
37,98094,-16,48829
38,98080,-14,49027
39,98080,0,48994
40,98080,0,48933
41,98080,0,49040
42,98080,0,48898
43,98080,0,48894
44,98080,0,48872
45,98062,-18,49031
46,98036,-26,48800
47,98036,0,48993
48,98036,0,48943
49,98016,-20,48870
50,98016,0,48996
51,97950,-66,48930
52,97926,-24,48807
53,97894,-32,48852
54,97894,0,48564
55,97858,-36,48583
56,97828,-30,48616
57,97792,-36,48637
58,97792,0,48503
59,97780,-12,48759
60,97780,0,48493
61,97780,0,48796
62,97778,-2,48221
63,97732,-46,48553
64,97728,-4,48509
65,97728,0,48401
66,97728,0,48484
67,97728,0,48312
68,97606,-122,48801
69,97606,0,48078
70,97560,-46,48467
71,97416,-144,48050
72,97404,-12,47825
73,97324,-80,47536
74,97324,0,47943
75,97234,-90,47659
76,97172,-62,48151
77,97172,0,47649
78,97172,0,48135
79,97172,0,47510
80,97172,0,47328
81,97172,0,46919
82,96996,-176,46824
83,96996,0,46178
84,96772,-224,46064
85,96768,-4,45828
86,96710,-58,46190
87,96710,0,45558
88,96710,0,46286
89,96708,-2,47329
90,96708,0,45841
91,96708,0,45975
92,96708,0,44785
93,96698,-10,44408
94,96698,0,43506
95,96650,-48,44091
96,96650,0,45393
97,96650,0,45985
98,96634,-16,45890
99,96634,0,47292
100,96634,0,48009
101,96634,0,48275
102,96634,0,48303
103,96634,0,48257
104,96634,0,48367
105,96634,0,48334
106,96634,0,48351
107,96634,0,48129
108,96634,0,48315
109,96566,-68,48288
110,96566,0,48282
111,96566,0,48203
112,96566,0,48247
113,96566,0,48204
114,96566,0,48283
115,96566,0,48225
116,96410,-156,48136
117,96280,-130,47795
118,96280,0,47935
119,96274,-6,48011
120,96258,-16,48016
121,96104,-154,48006
122,96104,0,47848
123,96104,0,47987
124,96104,0,48021
125,96104,0,47864
126,96104,0,47738
127,96104,0,47965
128,96104,0,47924
129,96070,-34,47627
130,95986,-84,47838
131,95986,0,47920
132,95986,0,47745
133,95950,-36,47894
134,95950,0,47880
135,95950,0,47775
136,95888,-62,47706
137,95730,-158,47512
138,95730,0,46889
