tick,loss,loss_delta,in_transit
0,98152,0,0
1,98152,0,49076
2,98152,0,49076
3,98152,0,49076
4,98152,0,49076
5,98152,0,49076
6,98152,0,48381
7,98148,-4,49074
8,98148,0,49074
9,98148,0,49074
10,98148,0,49074
11,98148,0,49074
12,98148,0,49074
13,98148,0,49074
14,98148,0,49074
15,98148,0,49074
16,98148,0,49074
17,98148,0,49011
18,98140,-8,49070
19,98140,0,49070
20,98140,0,49070
21,98140,0,49070
22,98140,0,49070
23,98140,0,49070
24,98140,0,49070
25,98140,0,49070
26,98114,-26,49011
27,98114,0,49057
28,98114,0,48689
29,98114,0,49057
30,98114,0,49057
31,98114,0,49057
32,98114,0,49057
33,98102,-12,49051
34,98102,0,49012
35,98102,0,49051
36,98090,-12,49045
37,98090,0,48851
38,98090,0,49045
39,98090,0,49045
40,98090,0,49045
41,98090,0,49045
42,98090,0,48973
43,98090,0,49045
44,98090,0,49045
45,98090,0,48816
46,98064,-26,49032
47,98064,0,48516
48,98064,0,49032
49,98044,-20,49022
50,98044,0,49022
51,98044,0,49022
52,98044,0,49022
53,98044,0,48723
54,98044,0,49022
55,98044,0,48396
56,98000,-44,48609
57,98000,0,49000
58,98000,0,48387
59,98000,0,48553
60,98000,0,49000
61,98000,0,49000
62,97964,-36,48428
63,97964,0,48982
64,97838,-126,48388
65,97838,0,48733
66,97838,0,48789
67,97838,0,48075
68,97776,-62,48508
69,97648,-128,48824
70,97588,-60,48794
71,97588,0,48794
72,97422,-166,48711
73,97332,-90,47167
74,97268,-64,47372
75,97140,-128,48568
76,97140,0,47847
77,97106,-34,48442
78,97106,0,48120
79,97050,-56,47503
80,97050,0,48042
81,97050,0,47037
82,96784,-266,46981
83,96772,-12,47838
84,96668,-104,47581
85,96604,-64,45965
86,96604,0,46863
87,96472,-132,45476
88,96280,-192,46115
89,96276,-4,47441
90,96070,-206,44592
91,96070,0,46536
92,96066,-4,45537
93,96034,-32,45970
94,96034,0,43882
95,96034,0,46426
96,96034,0,45309
97,95908,-126,45007
98,95908,0,46307
99,95908,0,47668
100,95908,0,47954
101,95908,0,47954
102,95766,-142,47883
103,95766,0,47883
104,95762,-4,47881
105,95762,0,47881
106,95762,0,47881
107,95760,-2,47867
108,95760,0,47880
109,95760,0,47880
110,95760,0,47880
111,95760,0,47880
112,95760,0,47880
113,95760,0,47880
114,95760,0,47880
115,95760,0,47880
116,95760,0,47686
117,95760,0,47808
118,95594,-166,47785
119,95558,-36,47779
120,95558,0,46956
121,95558,0,47569
122,95558,0,47779
123,95352,-206,47616
124,95352,0,47308
125,95352,0,47509
126,95336,-16,47125
127,95336,0,47644
128,95302,-34,47209
129,95302,0,47651
130,95302,0,47651
131,95302,0,47651
132,95302,0,47135
133,95302,0,47331
134,95272,-30,47636
135,95272,0,46469
136,95272,0,47636
137,95272,0,47636
138,95272,0,47636
139,95272,0,47163
140,95210,-62,47605
141,95210,0,47605
142,95210,0,46823
143,95210,0,47190
144,95192,-18,45675
145,95192,0,45550
146,94966,-226,46347
147,94966,0,47379
148,94966,0,47483
149,94946,-20,45880
150,94946,0,47473
151,94788,-158,47394
152,94530,-258,47157
153,94530,0,46639
154,94530,0,46285
155,94482,-48,47054
156,94478,-4,46635
157,94478,0,47239
158,94478,0,46205
159,94478,0,47239
160,94162,-316,47081
161,93998,-164,45406
162,93998,0,46185
163,93988,-10,46231
164,93988,0,46917
165,93988,0,46842
166,93988,0,46994
167,93964,-24,46696
168,93964,0,44491
169,93964,0,46082
170,93964,0,45541
171,93964,0,46578
172,93680,-284,46840
173,93580,-100,45528
174,93580,0,46554
175,93210,-370,44606
176,93210,0,45808
177,93210,0,45481
178,92892,-318,45420
179,92890,-2,44656
180,92624,-266,45141
181,92624,0,42257
182,92624,0,44490
183,92624,0,46312
184,92624,0,46068
185,92624,0,44069
186,92624,0,46312
187,92624,0,45550
188,92624,0,44538
189,92624,0,46312
190,92624,0,46042
191,92624,0,45452
192,92624,0,46312
193,92624,0,46312
194,92494,-130,46247
195,92494,0,46247
196,92494,0,46247
197,92494,0,46247
198,92494,0,46247
199,92494,0,46247
200,92494,0,46247
201,92494,0,46247
202,92494,0,46247
203,92494,0,46155
204,92494,0,46247
205,92494,0,45505
206,92494,0,45879
207,92256,-238,46128
208,92148,-108,46074
209,91890,-258,45688
210,91890,0,45945
211,91890,0,45945
212,91890,0,45945
213,91890,0,45465
214,91610,-280,45474
215,91534,-76,45611
216,91130,-404,45411
217,90932,-198,43742
218,90932,0,45154
219,90932,0,45466
220,90932,0,44508
221,90844,-88,44011
222,90660,-184,45330
223,90524,-136,44260
224,90192,-332,44681
225,90192,0,44529
226,90192,0,45096
227,90192,0,44266
228,90192,0,44662
229,90192,0,45096
230,90192,0,45096
231,90192,0,45096
232,90170,-22,44416
233,90170,0,44142
234,90026,-144,44705
235,89898,-128,44335
236,89690,-208,43843
237,89566,-124,43466
238,89566,0,44090
239,89124,-442,44369
240,89124,0,42510
241,88894,-230,43333
242,88824,-70,44363
243,88824,0,43177
244,88458,-366,44135
245,88458,0,44161
246,88100,-358,42716
247,87658,-442,43698
248,87658,0,43735
249,87482,-176,42799
250,87482,0,43306
251,87170,-312,43585
252,87170,0,43585
253,87170,0,43164
254,86846,-324,42285
255,86552,-294,43276
256,86552,0,42376
257,86458,-94,41849
258,86436,-22,42925
259,86436,0,42782
260,86436,0,40347
261,86436,0,43218
262,86310,-126,42585
263,85834,-476,41437
264,85834,0,42404
265,85564,-270,42452
266,85382,-182,41956
267,85382,0,42180
268,85382,0,42094
269,85382,0,42691
270,85382,0,42373
271,85382,0,41324
272,85382,0,41237
273,85126,-256,42019
274,85126,0,41901
275,84996,-130,42246
276,84996,0,41294
277,84996,0,42038
278,84996,0,41921
279,84770,-226,41725
280,84770,0,42383
281,84770,0,42003
282,84770,0,42385
283,84770,0,42385
284,84770,0,42385
285,84770,0,42385
286,84770,0,42385
287,84770,0,42385
288,84770,0,42385
289,84770,0,42385
290,84770,0,41914
291,84770,0,42385
292,84750,-20,41797
293,84750,0,41746
294,84566,-184,42283
295,84458,-108,42229
296,84262,-196,42131
297,84262,0,42057
298,84262,0,42131
299,84262,0,41946
300,84262,0,42131
301,84262,0,42131
302,84262,0,42131
303,84262,0,42054
304,84262,0,42131
305,84032,-230,41774
306,84032,0,41065
307,83646,-386,41823
308,83646,0,41823
309,82938,-708,40416
310,82938,0,40267
311,82938,0,40660
312,82698,-240,40196
313,82310,-388,40843
314,82160,-150,41080
315,82160,0,40272
316,82160,0,39487
317,82160,0,41080
318,82160,0,38885
319,82058,-102,40573
320,82058,0,40721
321,82058,0,40835
322,81724,-334,40674
323,81724,0,39672
324,81632,-92,39802
325,81434,-198,40092
326,81380,-54,39735
327,81380,0,39914
328,81380,0,40521
329,81380,0,40565
330,81380,0,39161
331,81380,0,40690
332,81380,0,40420
333,81200,-180,40600
334,81200,0,39598
335,81110,-90,39218
336,80922,-188,38771
337,80806,-116,40312
338,80586,-220,39841
339,80586,0,40293
340,80586,0,38688
341,80052,-534,40005
342,79962,-90,39177
343,79466,-496,38524
344,79466,0,39366
345,79466,0,39733
346,79108,-358,39465
347,79108,0,39554
348,78582,-526,39291
349,78582,0,39291
350,78582,0,39291
351,78582,0,39291
352,78582,0,38923
353,78320,-262,37386
354,78320,0,38780
355,78062,-258,39031
356,78062,0,38595
357,78062,0,37745
358,77648,-414,38651
359,77648,0,36671
