preset,solver,initial_loss,final_loss,ticks_to_converge,loss_integral
star_center,greedy,1818,0.0,257,249932
star_center,ot,1818,0.0,136,247068
path_end,greedy,1800,800.0,never,1084800
path_end,ot,1800,800.0,never,1085800
bipartite_split,greedy,1250,34.0,never,457958
bipartite_split,ot,1250,0.0,382,459300
poisson_edge_ring,greedy,98152,22996.0,never,55826980
poisson_edge_ring,ot,98152,9658.0,never,52139514
poisson_3_clusters,greedy,589312,110836.0,never,340457782
poisson_3_clusters,ot,589312,38076.0,never,311013558
poisson_capital_rush,greedy,672000,486960.0,never,480503240
poisson_capital_rush,ot,672000,490182.0,never,482167488
